Date,Open,Max,Min,Close
2024-05-02,"20,360.67","20,360.67","20,222.44","20,222.44"
2024-05-03,"20,381.98","20,521.49","20,272.34","20,330.32"
2024-05-06,"20,479.80","20,639.90","20,479.80","20,523.31"
2024-05-07,"20,634.62","20,689.19","20,493.80","20,653.53"
2024-05-08,"20,604.18","20,700.51","20,547.48","20,700.51"
2024-05-09,"20,710.05","20,754.61","20,560.77","20,560.77"
2024-05-10,"20,582.12","20,765.82","20,574.01","20,708.84"
2024-05-13,"20,905.16","20,933.28","20,816.42","20,857.71"
2024-05-14,"20,835.95","20,994.53","20,816.77","20,985.85"
2024-05-15,"20,984.70","21,308.32","20,984.70","21,147.21"
2024-05-16,"21,319.02","21,515.52","21,249.88","21,304.26"
2024-05-17,"21,346.75","21,346.75","21,218.34","21,258.47"
2024-05-20,"21,278.38","21,338.35","21,102.18","21,271.63"
2024-05-21,"21,239.26","21,307.08","21,131.62","21,236.75"
2024-05-22,"21,248.99","21,567.48","21,248.99","21,551.83"
2024-05-23,"21,668.84","21,668.84","21,475.99","21,607.43"
2024-05-24,"21,442.67","21,608.72","21,381.25","21,565.34"
2024-05-27,"21,699.98","21,871.34","21,699.98","21,803.77"
2024-05-28,"21,812.20","21,937.40","21,812.20","21,858.41"
2024-05-29,"21,846.41","21,906.10","21,662.50","21,662.50"
2024-05-30,"21,481.39","21,558.36","21,364.24","21,364.48"
2024-05-31,"21,400.83","21,539.03","21,174.22","21,174.22"
2024-07-01,"23,042.70","23,187.88","23,015.17","23,058.57"
2024-07-02,"23,012.74","23,041.90","22,833.78","22,879.37"
2024-07-03,"23,009.82","23,172.43","22,994.28","23,172.43"
2024-07-04,"23,360.88","23,571.82","23,360.88","23,522.53"
2024-07-05,"23,532.01","23,628.86","23,491.79","23,556.59"
2024-07-08,"23,550.64","24,011.64","23,505.86","23,878.15"
2024-07-09,"23,888.20","24,126.66","23,607.92","23,900.08"
2024-07-10,"23,744.88","24,040.61","23,682.49","24,007.08"
2024-07-11,"24,242.03","24,416.67","24,151.80","24,390.03"
2024-07-12,"23,955.67","24,045.73","23,774.22","23,916.93"
2024-07-15,"23,927.91","24,018.31","23,759.51","23,879.36"
2024-07-16,"23,880.33","24,174.18","23,861.77","23,997.25"
